text,label,label_2,diff
"RT @_sweetgangster_: Vica secretly(?) gazing at Jack. It's obvious how she feels about him but what about our pumpkin guy?

#panaceagame #t…",0,1,0
"RT @IDPCAsia: Around the world, #prisons are becoming increasingly overcrowded. #Humanrights abuses are rampant, from denial of basic #heal…",0,1,1
I was so excited to vote 4 @NYCMayor I did it 2ce. It was my 1st time voting and I researched who to chose and felt… https://t.co/mHFH4Ormdz,0,1,1
RT @CantGuardCourt: Denver said it would not arrest protesters for being out past curfew and look at the results,0,1,1
@freaky_mahdi I cant 😭😭😭😭😭😭😭😭😭😭 i was thinking how can i fix that,0,1,0
@KSVesq Paid for by our tax dollars,0,1,1
"RT @SaniaNishtar: With great humility &amp; guided by a rules &amp; transparency driven approach, our government has crossed the Rs. 100 bln mark w…",0,1,1
Prayers&amp;Thoughts For your loss of your Dog Isaboo Rachel&amp;John She was delight to watch I'm going to Miss her How sh… https://t.co/r5WhjnNt6v,0,1,0
"RT @ClowntownRL: @TheMilkmanBilly out there styling 😍
.
Check us out on instagram! 🤡🤡 https://t.co/8GEMja9wS0
.
#rocketleague #clowntown #t…",0,1,0
@AnnNabors4 HUGS! I am so sorry! This is the hardest part of loving a pet but it is the one last gift you can give… https://t.co/VokY9fSehf,0,1,0
"RT @KRISTINSANGRY: INFO THREAD: if you cant donate yourself, here is a thread of youtubers you can watch. all proceeds from ads (pls do not…",0,1,0
@arvbellaflvme Aww poo that's so not cool 🥴😩,0,1,0
"@GOP @realDonaldTrump How come he ignores subpoenas , refuses to testify under oath, uses justice dept to let his p… https://t.co/Ixh6WHxNY5",0,1,1
RT @GSierraZorita: @douglasmack @zombie_esq Sharing - https://t.co/tAghee4EbT,0,1,0
RT @SnaehaJ: our Tamil community knows how it feels to have our brothers and sisters killed just for being Tamil. Let’s not let our Black c…,0,1,1
@AmandaTNStevens @bardandbaker @oneironym I'm glad you like it! It felt very anime with the strawberry garnish on t… https://t.co/jeglLr6Xwz,0,1,0
RT @SarahhMontt: This person tried to bulldoze a peaceful protest in Pasadena. This is what your #BlueLivesMatter flag means to me. Monster…,0,1,1
"@OCcornpop @HBPD_PIO @Twitter Speaking of ugly, sorry just came to me when I looked at your profile with a dead San… https://t.co/NBZGOPuGUS",0,1,0
"RT @virtuallyoon: PEOPLE IN THE UK PLEASE SIGN THIS PETITION !!! 

IT’S TO STOP THE EXPORT OF TEAR GAS, RUBBER BULLETS AND RIOT SHIELDS FRO…",0,1,1
RT @TheEllenShow: I support the protestors who are exercising their rights and standing up against the horrible injustices that Black peopl…,0,1,1
"@RichieD76 @CourticeMarcus @donnantwich @YvetteCooperMP Again, so what?? Stop spouting irrelevant nonsense",0,1,0
"RT @MarkHarlan_AD: Listen. Learn. Act.
#blackouttuesday https://t.co/4z7lpe7S9f",0,1,1
"RT @JoseMedinaJr89: It’s a time of reckoning. We, in #duallanguage (&amp; world languages), have been complicit in maintaining systems of oppre…",0,1,1
RT @ThePiebrarian: URGENT SCANNER UPDATE: I'm hearing requests for backup at 30th street and 6th ave in Manhattan and I believe I can hear…,0,1,1
@tardis_noise @Thegamerdude98 @PlayStation Black lifes stop saying that it is hypocrisy you are referring to life’s… https://t.co/wdd2EE0CZT,0,1,1
"@midnight5791 If you like horses and sci-fi, this book is for you!

https://t.co/BPEGtyYUVv",0,1,0
@ricky_twin @CasaburiFrank @johnrobertsFox @CNN Is this a joke? OAN is maybe the most biased out there. One reporte… https://t.co/gscDx0pfjA,0,1,0
New to historic and looking for a budget deck that is competitive? Check out this 6R 4M wildcard mono blue tempo li… https://t.co/C7ro01lYX1,0,1,0
@Unicorn_Galaxy4 This girl said oh yeah I think you can have the halo and then she is like nvm and she fucking told me I could have it,0,1,0
"My life matters.
I am not a threat.
I just want to live FREE.
I WAS BORN HERE
My life isn’t up to YOU.
#StaffordVA… https://t.co/fjhTcuogGz",0,1,1
RT @kyharchive: 200601 | CODEBLUE1219 https://t.co/yWqQd0OzU1,0,1,0
This is amazing to see in a paper like the @HoustonChron. If only more people had kneeled with @Kaepernick7 instead… https://t.co/Ak6x7gMhfE,0,1,0
@SteveGuest @ComfortablySmug They don't give a fuck either.,0,1,0
@ericswalwell @Karaoke_God @JoeBiden I cannot wait to vote for a decent man who will represent all Americans.… https://t.co/bGk3tp465M,0,1,1
@VMartinez2112 @enews It’s never enough! Why can’t you just say thank you! That was an awesome gesture!,0,1,0
"RT @Gr33nJack3t: @Bound_Unicorn charging into fire uphill is my preferred strategy. high ground advantage is dissolved by superior resolve,…",0,1,0
"RT @catturd2: The average, ordinary citizens of this country are only gonna take so much more of this terrorist bullshit.",0,1,1
"RT @MaraGay: De Blasio just now on NY1: “If those protesters had just gotten out of the way, and not created an attempt to surround that ve…",0,1,1
YOU CAN’T KEEP US QUIET https://t.co/lIDhhBaWgQ,0,1,1
So I bought this mask from @crookedmedia about two months ago. Sad to say it has an unintended dual purpose because… https://t.co/lRmba0CkeS,0,1,0
RT @LexxClarkk: You can take action by going on this site and finding your local representatives and contacting them!!!! WE CANNOT LET THIS…,0,1,1
"RT @notyoongii: rt if your account is a safe place for muslim, black, brown, lgbtq+ armys ♡",0,1,1
RT @stevensantos: Just remember that Trump's still fucking up the pandemic response along with what's been happening this past week.,0,1,1
"RT @liberalinternat: Join LI's leadership: @hansvanbaalen, @KH_Paque &amp; @AbirAlsahlani + international panellists, tomorrow at 11:00 CEST as…",0,1,0
RT @WiganNews1: NEWS: Wigan Council and Network Rail have said they intend to make signage clearer on all low bridges in the borough. https…,0,1,0
"RT @AgeofZOfficial: Are you the winner?
Fight with zombie，save your city！

#AgeofZ",0,1,1
Serious question: Could someone explain how that bastardization of our flag doesn’t violate the flag code? If it do… https://t.co/QblKX5i2Lg,0,1,1
To Take Such Tragic Matter and Use It As an opportunity for more Violence &amp; Hate... In the name of Peaceful Protest… https://t.co/UMkOxWoXsa,0,1,1
"RT @winstonleather: She LIGHTS up our world. ✨✨

Surrender to the allure of the Tokyo iridescent pink metallic bag.

Color effect changes u…",0,1,0
RT @brekkstairs: PLEASE HIT US THANK YOU,0,1,0
"RT @AnonEV_H: Boots-on-ground Anons are needed in cities across the US. Do your part and join this historical moment.

#GeorgeFloydProtests…",0,1,1
"RT @mutantballyhoo: I love the “N-Y-P-D, suck-my-dick!” chant because it can’t be co-opted by corporations making ads. Like Amazon or Apple…",0,1,1
@iBREathetweets_ I love you Queen 🤗,0,1,0
RT @detsolnet: Human rights defenders #VaravaraRao #AnandTeltumbde #ShomaSen #SudhaBharadwaj have been denied interim bail. Despite their p…,0,1,1
"If you've looked into C/C++ programming, you'll likely've heard of """"Pointers"""" and """"References"""". What are they? How… https://t.co/vh1ozqwU0d",0,1,0
RT @CrackTeeSA_: Crack-Tee - #CultureVulture (25k Cover) dropping on the 08th Of June. Really hope @TheReal_25K fucks with it. Let's Go!!!!…,0,1,0
"Rohini Hattangadi Interview - Rohini Hattangadi is a complete package! She can make you laugh, cry, mesmerize and h… https://t.co/p6MQEimxuM",0,1,0
@LeadChangeTrish That takedown is textbook,0,1,0
"RT @zoeamira1: IT MADE ITS WAY TO TUMBLR TOO???? OVER 90,000 NOTES??????? YOOOOO i love yall https://t.co/kGfT5PYlwf",0,1,0
#wherethewildthingsare !#fieldgrownflowers season has officially taken off! Visited my longtime favorite… https://t.co/dswrD3CNcT,0,1,0
"RT @mises: If it were not for accommodative monetary policy, many big firms would have otherwise shut down by now. Once again, the Fed is r…",0,1,1
"RT @NALCO_India: She kept the tri-colour flying high for India. Now, Indian Hockey star &amp; NALCOnian Sunita Lakra is doing her bit to raise…",0,1,0
"RT @dahlia1027: Another powerful masterpiece by @Eleven_Films 

“Black people are dying in a state of emergency... Do what you say this cou…",0,1,1
"RT @SaniaaShafiq: @AnupBis71680145 He is a betrayer &amp; beast. He is still fake.

#WeLoveShehnaaz 
#ShehnaazGiIl 
#Shehnaazians https://t.co/…",0,1,0
Grand Rising 🥰 I still haven't been to sleep 😅😬🙃,0,1,0
"@Baligubadle1 @realDonaldTrump @FoxNews How ridiculous that a coward #CadetBoneSpurs like 
@realDonaldTrump is now… https://t.co/r2X1K6nkba",0,1,1
"RT @tepanchinceva: @billtay25 @HassCho The Shantar Islands are amazingly beautiful and rich: whales, killer whales, pinnipeds, other inhabi…",0,1,0
RT @SHIRTTTTTT: So I don’t talk much at all but the world is dead lol next thing I know when I finally go outside it’s a call of duty zombi…,0,1,0
Worked out this morning too time to shower and get my life in order good morning babiesssss,0,1,0
"A long-awaited federally backed loan program with loan limits from $500,000 to $200 million is being positioned to… https://t.co/iDKgMpE1iZ",0,1,1
"As worthwhile a cause it is to #protest2020 (not riot) these issues, was it not worth for these experts to support… https://t.co/FX4B2g2a7S",0,1,1
"In the final episode of our Ikoria D&amp;D adventure, a mystery will be solved! But what will happen to the NPCs? What… https://t.co/OZ9h9AW0Tz",0,1,0
@unicorn_intown Stay strong baby keep shining,0,1,0
RT @MisterPreda: Good morning @YouTube @ytcreators @SusanWojcicki it’s time to finally make an example of @jakepaul. A millionaire who’s la…,0,1,0
RT @halsey: THIS. WATCH. THIS.,0,1,0
companies are so damn scared of the word “gay”. every pride month piece of merchandise is labeled “pride” or “rainb… https://t.co/7Qpx2q8jGZ,0,1,0
"@ShinaReynolds https://t.co/BPEGtyYUVv

A horse tries to write to his owners, and they make him a celebrity.",0,1,0
@Trump2020Black @Motheo2009 @ShaiPhumla @ITKHUMALO @Me Kumele uzazi mfondini. You call Ndebele people kwerekwere an… https://t.co/ClYwkwbXOc,0,1,1
RT @meeeshx3: Y’all I have friends and family from other countries and THEY HEAR US!!!!!!! So why can’t @realDonaldTrump ?! #BlackLivesMatt…,0,1,1
@Rainbow_Punch That’s okay I literally just ended up being able to get something from someone else so I would’ve ha… https://t.co/UyH3mtkgQy,0,1,0
I still don't get how these announcements are better than instantly banning something or establishing a watchlist.… https://t.co/srM0AKt29d,0,1,0
RT @gwendrOlyn: i can’t b there bc i have Willow but if YALL NEED ANYTHING PLEASE LET ME KNOW - i will drive n wait in the car - get you su…,0,1,0
RT @quitrems: here are some books that discuss institutional racism &amp; how racism manifests in today’s society. also some tv shows / movies…,0,1,0
@MeganPlays @MeganPlays I dare you to give me a mega unicorn(btw it’s okay if you don’t want to lol but if you agre… https://t.co/n47FYB5ZaZ,0,1,0
@stollez I’m just impressed they travelled for work and not just a jolly or to get laid.,0,1,0
"RT @AshleyPorteeyo: Freedom of the press is protected by the first amendment.

But it wasn't protected today.",0,1,1
RT @MrThePlague2: Very happy to hear that @powrdragn and @diceasar from @ColorofMTG will be playing in the https://t.co/IEFDzMwhEj Young Li…,0,1,0
"RT @BiiiinoX: My gf and I dedicated this day for our assignments.... I just video called her now... 

A ke happy struu!🤞 mogirl looked like…",0,1,0
"Thank you GiantPunky for being the better in this. 

Also just because me and @ZombieRaay glitched to get planes do… https://t.co/eSrXtqjGFw",0,1,0
"RT @rodney_kun: *everyone struggling to cope with the current corona pandemic*

Ebola : https://t.co/LJ1CuIlkGJ",0,1,0
@PhilipRucker DC &amp; the nation is burning from the fires he started then fanned the flames of with his own brand of… https://t.co/nlaa15upkq,0,1,1
@ElsieMarblewood @briancebuhl @JamesNealWrites @Brian_C_Palmer @erintiffanygrey @clemmiegirlnz @Inkandmagic… https://t.co/9QhYmO973R,0,1,0
"Went 4-1 with GW Maverick tonight, Gyruda just being too fast for me to overcome 

Deck felt great - didn't miss th… https://t.co/rut3rsGw30",0,1,0
RT @tweetjoshrosen: At Pasadena City Hall for a candlelight vigil in remembrance of George Floyd and other Black people who have been kille…,0,1,1
